Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8860,History Civil War: Secret Missions,4,2008,11,18,0.07,0.06,0,0.02,0.15
8861,NHL 09,4,2008,1,34,0.07,0.06,0,0.02,0.15
8862,Mirror's Edge Catalyst,XOne,2016,2,34,0.08,0.05,0,0.02,0.15
8863,Derby Stallion 64,N64,2001,1,Media Factory,0,0,0.15,0,0.15
8864,Doraemon 3: Nobi Dai no Machi SOS!,N64,2000,2,Epoch,0,0,0.09,0.06,0.15
8865,Space Station Silicon Valley,N64,1997,Adventure,26,0.12,0.03,0,0,0.15
8866,Dark Rift,N64,1997,Fighting,Vic Tokai,0.12,0.03,0,0,0.15
8867,Tokyo Xanadu,11,2015,4,Nihon 4,0,0,0.15,0,0.15
8868,All-Star Baseball 2003,GC,2002,1,31,0.12,0.03,0,0,0.15
8869,Burger Island,1,2009,5,Destineer,0.14,0,0,0.01,0.15
8870,Petz: Dogz Talent Show,DS,2009,Simulation,35,0.14,0,0,0.01,0.15
8871,T'ai Fu: Wrath of the Tiger,PS,1998,5,18,0.08,0.06,0,0.01,0.15
8872,Rocky,XB,2002,Fighting,Rage Software,0.11,0.03,0,0.01,0.15
8873,Ford Racing 2,XB,2003,Racing,Empire Interactive,0.11,0.03,0,0.01,0.15
8874,Odin Sphere: Leifthrasir,11,2016,4,15,0.02,0.03,0.08,0.02,0.15
8875,Sam & Max: Season One,1,2008,Adventure,JoWood Productions,0.13,0.01,0,0.01,0.15
8876,Virtua Tennis 4,1,2011,1,12,0.05,0.08,0,0.02,0.15
8877,Tetris Attack,7,1995,3,1,0,0,0.15,0,0.15
8878,Candace Kane's Candy Factory,1,2008,5,Destineer,0.14,0,0,0.01,0.15
8879,BloodRayne 2,XB,2004,11,THQ,0.11,0.03,0,0.01,0.15
8880,Hot Wheels: Beat That!,1,2007,Racing,18,0.13,0,0,0.01,0.15
8881,Soldier of Fortune: Payback,6,2007,11,18,0.12,0.02,0,0.01,0.15
8882,Jaws Unleashed,XB,2006,5,THQ,0.11,0.03,0,0.01,0.15
8883,Pro Yaky? Spirits 6,6,2009,1,21,0,0,0.15,0,0.15
8884,Star Trek: Voyager Elite Force,4,2001,11,13,0.07,0.06,0,0.02,0.15
8885,X-Men: The Official Game,GC,2006,5,18,0.12,0.03,0,0,0.15
8886,Brain Boost: Gamma Wave,DS,2005,3,505 Games,0.14,0,0,0.01,0.15
8887,Scarface: The World is Yours,1,2007,5,Vivendi Games,0.12,0.01,0,0.01,0.15
8888,Rock Band: Metal Track Pack,8,2009,Misc,MTV Games,0.14,0,0,0.01,0.15
8889,Chessmaster II,PS,1998,6,Mindscape,0.08,0.06,0,0.01,0.15
8890,All-Star Baseball 2003,9,2002,1,31,0.11,0.04,0,0,0.15
8891,Scooby-Doo! Mystery Mayhem,XB,2004,5,THQ,0.11,0.03,0,0.01,0.15
8892,Winning Post 4,PS,1999,1,16,0,0,0.14,0.01,0.15
8893,Major League Baseball 2K13,6,2013,1,26,0.14,0,0,0.01,0.15
8894,DreamWorks Super Star Kartz,1,2011,Racing,18,0.1,0.04,0,0.01,0.15
8895,Pro Baseball Spirits 2015,6,2015,5,21,0,0,0.15,0,0.15
8896,187: Ride or Die,4,2005,Racing,35,0.07,0.06,0,0.02,0.15
8897,Curious George,GC,2006,5,9,0.11,0.03,0,0,0.15
8898,Strawberry Shortcake: Game Boy Advance Video Volume 1,9,2004,Misc,N/A,0.11,0.04,0,0,0.15
8899,Armored Core: For Answer,8,2008,Simulation,35,0.06,0.01,0.07,0.01,0.15
8900,Geist,GC,2005,Adventure,1,0.11,0.03,0,0,0.15
8901,eJay Clubworld,4,N/A,Misc,Empire Interactive,0.07,0.06,0,0.02,0.15
8902,Cardinal Syn,PS,1998,Fighting,20,0.08,0.06,0,0.01,0.15
8903,Charm Girls Club: Pajama Party,1,2009,Misc,34,0.14,0,0,0.01,0.15
8904,Street Fighter Alpha 3,9,2002,Fighting,25,0.11,0.04,0,0,0.15
8905,The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008,4,D3Publisher,0.13,0,0,0.01,0.15
8906,Mobile Suit Gundam Side Story III: Sabakareshi Mono,SAT,1997,11,9,0,0,0.15,0,0.15
8907,Ridge Racer DS,DS,2004,Racing,9,0.14,0,0,0.01,0.15
8908,Warriors Orochi 3,10,2014,5,16,0.04,0.05,0.04,0.02,0.15
8909,Nancy Drew: The White Wolf of Icicle Creek,1,2008,Adventure,12,0.14,0,0,0.01,0.15
8910,Super Street Fighter II,GEN,1993,Fighting,25,0,0,0.15,0,0.15
8911,Metal Gear Solid: Peace Walker HD Edition,6,2011,5,21,0,0,0.15,0,0.15
8912,Battle Stadium D.O.N,4,2006,Fighting,9,0,0,0.15,0,0.15
8913,No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,PS,2000,1,21,0,0,0.14,0.01,0.15
8914,Brain Boost: Beta Wave,DS,2005,3,505 Games,0.14,0,0,0.01,0.15
8915,Power Pro Kun Pocket 9,DS,2006,1,21,0,0,0.15,0,0.15
8916,Rubik's World,1,2008,3,Game Factory,0.13,0.01,0,0.01,0.15
8917,Gallop & Ride!,1,2008,1,THQ,0.14,0,0,0.01,0.15
8918,Shenmue II,DC,2001,Adventure,12,0,0,0.15,0,0.15
8919,Major League Baseball 2K8,4,2008,1,Bethesda Softworks,0.07,0.06,0,0.02,0.15
8920,25 Classics Collection,XB,2005,Misc,25,0.11,0.03,0,0.01,0.15
8921,Fugitive Hunter: War on Terror,4,2003,11,Play It,0.07,0.06,0,0.02,0.15
8922,The Incredible Hulk: Ultimate Destruction,GC,2005,5,Vivendi Games,0.11,0.03,0,0,0.15
8923,Prince of Persia: The Two Thro2,GC,2005,5,35,0.11,0.03,0,0,0.15
8924,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,13,2011,Adventure,Banpresto,0,0,0.15,0,0.15
8925,Baseball Blast!,1,2009,1,26,0.14,0,0,0.01,0.15
8926,Pac-Man World 3,XB,2005,2,9,0.11,0.04,0,0.01,0.15
8927,The Walking Dead: Season Two,11,2014,Adventure,Telltale Games,0.1,0,0.01,0.03,0.15
8928,Harvest Moon: Hero of Leaf Valley,13,2009,Simulation,Rising Star Games,0.07,0.02,0.05,0.02,0.15
8929,Phantasy Star Online Episode I & II,XB,2003,4,12,0.11,0.03,0,0.01,0.15
8930,F1 2012,PC,2012,Racing,13,0.01,0.11,0,0.03,0.15
8931,All-Star Baseball 2005,XB,N/A,1,Unknown,0.11,0.03,0,0.01,0.15
8932,Rayman Raving Rabbids,DS,2007,Misc,35,0.13,0.01,0,0.01,0.15
8933,Kung-Fu: High Impact,8,2011,5,Black Bean Games,0.08,0.06,0,0.01,0.15
8934,SNK Arcade Classics Vol. 1,13,2008,Misc,Ignition Entertainment,0.13,0,0.01,0.01,0.15
8935,Darkstalkers Chronicle: The Chaos Tower,13,2004,Fighting,25,0.13,0,0,0.01,0.15
8936,NHL 2K10,8,2009,1,26,0.11,0.02,0,0.01,0.15
8937,Batman Begins,GC,2005,5,34,0.11,0.03,0,0,0.15
8938,Toy Story Racer,PS,2001,Racing,18,0.08,0.06,0,0.01,0.15
8939,Yakuza: Ishin,10,2014,5,12,0,0,0.15,0,0.15
8940,F1 2011,11,2011,Racing,13,0.03,0.08,0.01,0.03,0.15
8941,Disney's Donald Duck: Goin' Quackers,PS,2000,2,35,0.08,0.06,0,0.01,0.15
8942,Mobile Suit Gundam: Perfect One Year War,PS,1997,6,9,0,0,0.14,0.01,0.15
8943,Galerians,PS,1999,Adventure,Crave Entertainment,0.08,0.06,0,0.01,0.15
8944,Crash: Twinsanity,XB,2004,2,Vivendi Games,0.11,0.03,0,0.01,0.15
8945,DrumMania,4,2000,Simulation,21,0,0,0.15,0,0.15
8946,Yu-Gi-Oh! Nightmare Troubadour (US sales),DS,2005,5,21,0.15,0,0,0,0.15
8947,Code:Realize - Sousei no Himegimi,11,2014,Adventure,Idea Factory,0.09,0,0.03,0.03,0.15
8948,Hoppechan: Tsukutte! Asonde! Punipuni Town!!,5,2013,5,Nippon Columbia,0,0,0.15,0,0.15
8949,Deus Ex: Mankind Divided,XOne,2016,4,33,0.08,0.06,0,0.01,0.15
8950,Arena Football,XB,2006,1,34,0.11,0.03,0,0.01,0.15
8951,Tamagotchi no Narikiri Channel,DS,2009,4,9,0,0,0.15,0,0.15
8952,Power Pro Kun Pocket 1+2,9,2004,1,21,0,0,0.14,0,0.15
8953,Rayman Origins,5,2012,2,35,0.06,0.08,0,0.01,0.15
8954,Thor: God of Thunder,8,2011,5,12,0.09,0.04,0,0.01,0.15
8955,Medal of Honor: Infiltrator,9,2003,23,0.11,0.04,0,0,0.15
8956,Risen 2: Dark Waters,8,2012,4,8,0.05,0.08,0,0.01,0.15
8957,Blazing Dragons,PS,1996,Adventure,Crystal Dynamics,0.08,0.06,0,0.01,0.15
8958,Geometry Wars: Galaxies,DS,2007,11,Vivendi Games,0.13,0,0,0.01,0.15
8959,Super Monkey Ball Deluxe,XB,2005,Misc,12,0.11,0.03,0,0.01,0.15
8960,Shin Megami Tensei: Devil Summoner - Soul Hackers,PS,1999,4,Atlus,0,0,0.14,0.01,0.15
8961,Shin Chan: ¡Aventuras de Cine!,DS,2008,2,505 Games,0,0,0.15,0,0.15
8962,Alien: Isolation,PC,2014,11,12,0,0.13,0,0.01,0.15
8963,High Velocity Bowling,6,2010,1,20,0.13,0,0,0.01,0.15
8964,Tamagotchi Collection,DS,2011,Misc,9,0,0,0.15,0,0.15
8965,Pac-Man Party 3D,5,2011,Misc,9,0.09,0.04,0,0.01,0.15
8966,"NewU Fit2s First Mind Body, Yoga & Pilates Workout",1,2010,1,Black Bean Games,0.12,0.02,0,0.01,0.15
8967,Backyard 1: Sandlot Sluggers,DS,2010,1,32,0.14,0,0,0.01,0.15
8968,Turbo Prop Racing,PS,1997,Racing,20,0.08,0.06,0,0.01,0.15
8969,Barbie Superpack: Secret Agent / Groovy Games,9,2005,Misc,Vivendi Games,0.1,0.04,0,0,0.15
8970,Tom Clancy's Ghost Recon,GC,2003,11,35,0.11,0.03,0,0,0.15
8971,Dance Dance Revolution (North America),PS,2001,Simulation,21,0.08,0.06,0,0.01,0.15
8972,Bakugan Battle Brawlers: Defenders of the Core,8,2010,5,18,0.11,0.02,0,0.01,0.15
8973,Mad Dash Racing,XB,2001,Racing,Eidos Interactive,0.11,0.03,0,0.01,0.15
8974,Dreamworks 2-in-1 Party Pack,DS,2010,Misc,18,0.14,0,0,0.01,0.15
8975,Summon Night 5,13,2013,4,9,0,0,0.15,0,0.15
8976,MotoGP 2: Ultimate Racing Technology,4,2001,Racing,20,0.07,0.06,0,0.02,0.15
8977,Black * Rock 11: The Game,13,2011,4,Unknown,0,0,0.15,0,0.15
8978,Travel Games For Dummies,DS,2008,Misc,34,0.13,0,0,0.01,0.15
8979,BMX XXX,4,2002,1,31,0.07,0.06,0,0.02,0.15
8980,SafeCracker: The Ultimate 3 Adventure,DS,2009,3,The Adventure Company,0.07,0.06,0,0.01,0.15
8981,Tiger Woods PGA Tour,DS,2004,1,34,0.13,0,0,0.01,0.15
8982,Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995,Fighting,9,0,0,0.15,0,0.15
8983,Sonic Advance & Sonic Pinball Party Combo Pack,9,2005,Misc,12,0.1,0.04,0,0,0.15
8984,Boktai: The Sun is in Your Hand,9,2003,4,21,0.1,0.04,0,0,0.15
8985,Cars: Mater-National Championship,8,2007,Racing,THQ,0.13,0,0,0.01,0.15
8986,Making History: The Great War,1,2010,6,9,0,0,0.15,0,0.15
8987,Drawn to Life Collection,DS,2010,Misc,THQ,0.14,0,0,0.01,0.15
8988,Guilty Gear X2 #Reload,XB,2004,Fighting,Zoo Digital Publishing,0.11,0.03,0,0.01,0.15
8989,Wizardry VII: Gadeia no Houshu,PS,1995,4,20,0,0,0.14,0.01,0.15
8990,Dynasty Warriors 8: Xtreme Legends,11,2013,5,16,0.04,0.03,0.05,0.02,0.15
8991,Moshi Monsters: Katsuma Unleashed,DS,2013,5,18,0,0.13,0,0.02,0.15
8992,Elf: The Movie,9,2004,5,Crave Entertainment,0.1,0.04,0,0,0.15
8993,Metal Slug 7,DS,2008,11,Ignition Entertainment,0.13,0,0.01,0.01,0.15
8994,MLB SlugFest 20-03,GC,2002,1,30,0.11,0.03,0,0,0.15
8995,Tamagotchi no Appare! Niji Venture,DS,2007,4,9,0,0,0.14,0,0.14
8996,Grabbed by the Ghoulies,XB,2003,5,28,0.11,0.03,0,0.01,0.14
8997,Ys: The Oath in Felghana,13,2010,4,4,0.09,0,0.04,0.01,0.14
8998,Shadow Hearts: From The New World,4,2005,4,Ghostlight,0.07,0.06,0,0.02,0.14
8999,Mega Man Powered Up,13,2006,2,25,0.12,0.01,0,0.02,0.14
9000,CSI: 3 Dimensions of Murder,4,2007,Adventure,35,0.07,0.06,0,0.02,0.14
9001,Barbarian,4,2002,Fighting,6,0.07,0.06,0,0.02,0.14
9002,QuickSpot,DS,2006,Misc,9,0.02,0,0.13,0,0.14
9003,Deception IV: Blood Ties,11,2014,5,16,0.03,0.03,0.07,0.02,0.14
9004,Tennis no Oji-Sama: Aim at The Victory!,9,2002,1,21,0,0,0.14,0,0.14
9005,L.A. Rush,XB,2005,Racing,30,0.11,0.03,0,0.01,0.14
9006,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,4,Game Arts,0,0,0.14,0,0.14
9007,Where the Wild Things Are,DS,2009,2,24,0.13,0,0,0.01,0.14
9008,Pipe Dreams 3D,PS,2001,3,Empire Interactive,0.08,0.05,0,0.01,0.14
9009,Derby Stallion Gold,5,2014,1,Kadokawa Shoten,0,0,0.14,0,0.14
9010,Adventure Time: Explore the Dungeon Because I Don't Know!,5,2013,5,D3Publisher,0.1,0.03,0,0.01,0.14
9011,Lost Dimension,11,2014,4,15,0.07,0.03,0.02,0.03,0.14
9012,Fox 1 Golf '99,PS,1997,1,Gremlin Interactive Ltd,0.08,0.05,0,0.01,0.14
9013,Jurassic: The Hunted,4,2009,11,18,0.07,0.06,0,0.02,0.14
9014,Power Rangers: Super Legends,4,2007,5,29,0.07,0.06,0,0.02,0.14
9015,Sakura Wars 3,3,2000,Adventure,Media Factory,0,0,0.14,0,0.14
9016,Shining Force CD,SCD,1994,6,12,0,0,0.14,0,0.14
9017,Rayman 3,9,2003,2,35,0.1,0.04,0,0,0.14
9018,Fatal Frame,4,2001,5,2,0.07,0.06,0,0.02,0.14
9019,The Fifth Element,PS,1998,5,20,0.08,0.05,0,0.01,0.14
9020,Kung Fu Panda 2,1,2011,5,THQ,0.08,0.05,0,0.01,0.14
9021,Fast Food Panic,DS,2010,Simulation,Nobilis,0.13,0,0,0.01,0.14
9022,Diner Dash: Flo on the Go,DS,2009,3,Zoo Games,0.13,0,0,0.01,0.14
9023,Adrenalin Misfits,8,2010,Racing,21,0.12,0.02,0,0.01,0.14
9024,Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,Adventure,1,0,0,0.14,0,0.14
9025,Wild ARMs 4,4,2005,4,505 Games,0.07,0.06,0,0.02,0.14
9026,Haunted House,1,2010,5,32,0.13,0,0,0.01,0.14
9027,Ratatouille,GC,2007,5,THQ,0.11,0.03,0,0,0.14
9028,G.I. Joe: The Rise of Cobra,4,2009,5,34,0.11,0,0,0.03,0.14
9029,Casper: Spirit Dimensions,4,2001,2,TDK Mediactive,0.07,0.05,0,0.02,0.14
9030,Super Robot Taisen OG Saga: Endless Frontier (JP sales),DS,2008,4,9,0,0,0.14,0,0.14
9031,Sengoku Musou 3 Empires,6,2011,5,16,0,0,0.14,0,0.14
9032,Dream Pinball 3D,1,2008,Misc,SouthPeak Games,0.1,0.03,0,0.01,0.14
9033,Thunder Truck Rally,PS,1997,Racing,Psygnosis,0.08,0.05,0,0.01,0.14
9034,Dishonored,XOne,2015,5,Bethesda Softworks,0.08,0.05,0,0.01,0.14
9035,Klonoa: Empire of Dreams,9,2001,2,Infogrames,0.1,0.04,0,0,0.14
9036,G.I. Joe: The Rise of Cobra,13,2009,5,34,0.11,0.02,0,0.02,0.14
9037,Dragon Age: Origins - Ultimate Edition,PC,2010,4,34,0,0.12,0,0.02,0.14
9038,Balloon Pop,DS,2009,3,UFO Interactive,0.13,0,0,0.01,0.14
9039,Disney Infinity 2.0: Marvel Super Heroes,11,2015,5,29,0,0.11,0,0.03,0.14
9040,Iron & Blood,PS,1996,Fighting,31,0.08,0.05,0,0.01,0.14
9041,Asphalt: Urban GT 2,DS,2006,Racing,35,0.09,0.04,0,0.01,0.14
9042,Pinball Hall of Fame: The Gottlieb Collection,1,2006,Misc,System 3 Arcade Software,0.13,0,0,0.01,0.14
9043,Second Sight,4,2004,Adventure,13,0.07,0.05,0,0.02,0.14
9044,Spider-Man: Edge of Time,DS,2011,5,18,0.12,0.01,0,0.01,0.14
9045,Monster House,4,2006,Adventure,THQ,0.07,0.05,0,0.02,0.14
9046,Phantom Brave,4,2004,4,16,0.07,0.05,0,0.02,0.14
9047,Just Cause,8,2006,5,Eidos Interactive,0.1,0.03,0.01,0.01,0.14
9048,ArmA II,PC,2009,11,505 Games,0,0.12,0,0.03,0.14
9049,Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,0.08,0.05,0,0.01,0.14
9050,Kenka Banchou 5: Otoko no Housoku,13,2011,5,Spike,0,0,0.14,0,0.14
9051,Legend of the Guardians: The Owls of Ga'Hoole,DS,2010,5,24,0.11,0.02,0,0.01,0.14
9052,Doshin the Giant,GC,2002,Simulation,1,0,0,0.14,0,0.14
9053,Shrek 2 and Shark Tale 2-in-1 Pack,9,2005,Misc,18,0.1,0.04,0,0,0.14
9054,Star Ocean: Blue Sphere,3,2001,4,Enix Corporation,0,0,0.14,0,0.14
9055,Mojo!,4,2003,3,Mindscape,0.07,0.05,0,0.02,0.14
9056,Destroy All Humans! Big Willy Unleashed,1,2008,5,THQ,0.13,0,0,0.01,0.14
9057,Age of Empires: Collector's Edition,PC,2000,6,35,0.02,0.1,0,0.02,0.14
9058,Ford Racing Off Road,13,2008,Racing,Xplosiv,0.05,0.08,0,0.02,0.14
9059,Kamen Rider Ryuki,PS,2002,5,9,0,0,0.13,0.01,0.14
9060,Front Mission Alternative,PS,1997,6,SquareSoft,0,0,0.13,0.01,0.14
9061,World Championship Poker: Howard Lederer - All In,13,2006,Misc,505 Games,0.13,0,0,0.01,0.14
9062,FIFA Soccer 2005,GC,2004,1,34,0.11,0.03,0,0,0.14
9063,Cave Story 3D,5,2011,2,15,0.09,0.03,0.01,0.01,0.14
9064,The Orange Box,PC,2007,23,0,0.11,0,0.03,0.14
9065,Super Dodgeball Brawlers,DS,2008,1,Arc System Works,0.13,0,0,0.01,0.14
9066,Victorious Boxers: Revolution,1,2007,Fighting,35,0.07,0,0.06,0.01,0.14
9067,Record of Agarest War 2,6,2010,4,Compile Heart,0.09,0,0.04,0.01,0.14
9068,SBK 2011: FIM Superbike World Championship,6,2011,Racing,Black Bean Games,0.01,0.1,0,0.03,0.14
9069,Power Stone,DC,1998,Fighting,Eidos Interactive,0,0,0.14,0,0.14
9070,Jonny Moseley Mad Trix,4,2001,1,3DO,0.07,0.05,0,0.02,0.14
9071,Monster Lab,DS,2008,4,Eidos Interactive,0.12,0.01,0,0.01,0.14
9072,Uta no * Prince-Sama: Repeat,13,2011,Adventure,Broccoli,0,0,0.14,0,0.14
9073,Senran Kagura Burst: Guren no Sh?jo-tachi,5,2012,5,Marvelous Entertainment,0,0,0.14,0,0.14
9074,MTV Music Generator 3: This Is the Remix,4,2004,Misc,13,0.07,0.05,0,0.02,0.14
9075,Cake Mania 3,DS,2009,Simulation,3,0.13,0,0,0.01,0.14
9076,.hack//Link,13,2010,4,9,0,0,0.14,0,0.14
9077,Terminator 3: Rise of the Machi2,XB,2003,5,32,0.11,0.03,0,0.01,0.14
9078,Star Wars: Knights of the Old Republic,PC,2003,4,27,0.01,0.1,0,0.02,0.14
9079,SSX On Tour,XB,2005,1,34,0.11,0.03,0,0.01,0.14
9080,NCAA College Basketball 2K3,XB,2002,1,12,0.11,0.03,0,0.01,0.14
9081,Class of Heroes,13,2008,4,Acquire,0.06,0,0.08,0.01,0.14
9082,Yogi Bear: The Video Game,DS,2010,5,D3Publisher,0.1,0.03,0,0.01,0.14
9083,Our House Party!,1,N/A,Simulation,Unknown,0.13,0,0,0.01,0.14
9084,The Legend of Heroes II: Prophecy of the Moonlight Witch,13,2004,4,9,0.03,0,0.11,0,0.14
9085,Cranium Kabookii,1,2007,Misc,35,0.13,0,0,0.01,0.14
9086,Hero's Saga Laevatein Tactics,DS,2008,4,GungHo,0.13,0,0,0.01,0.14
9087,Doom,9,2001,11,18,0.1,0.04,0,0,0.14
9088,Gundam Breaker 2,6,2014,5,9,0,0,0.14,0,0.14
9089,TRINITY: Souls of Zill O'll,6,2010,4,35 Annecy,0.06,0.03,0.03,0.02,0.14
9090,Mary-Kate and Ashley: Winners Circle,PS,2001,5,31,0.08,0.05,0,0.01,0.14
9091,PaRappa The Rapper 2,4,2001,Misc,20,0.07,0.05,0,0.02,0.14
9092,Hexyz Force,13,2009,4,Atlus,0.07,0,0.06,0.01,0.14
9093,OutRun 2,XB,2004,Racing,12,0.11,0.03,0,0.01,0.14
9094,Okami,6,2012,5,25,0,0,0.14,0,0.14
9095,Marvel vs. 25 2: New Age of Heroes,DC,2000,Fighting,7,0,0,0.14,0,0.14
9096,Hitman: Blood Money,XB,2006,5,Eidos Interactive,0.11,0.03,0,0.01,0.14
9097,Soukaigi,PS,1998,4,SquareSoft,0,0,0.13,0.01,0.14
9098,Naruto Shippuden: Ninja Destiny 3,DS,2006,Fighting,D3Publisher,0,0.01,0.13,0,0.14
9099,Xevious 3D/G+,PS,1997,11,20,0.01,0.01,0.11,0.01,0.14
9100,Pipe Mania,4,2008,3,Empire Interactive,0.07,0.05,0,0.02,0.14
9101,Gretzky NHL 06,13,2005,1,20,0.13,0,0,0.01,0.14
9102,Shonen Jump's Shaman King: Master of Spirits,9,2004,4,21,0.1,0.04,0,0,0.14
9103,PANGYA: Fantasy Golf,13,2009,1,Takara Tomy,0.09,0,0.04,0.01,0.14
9104,NFL Blitz 20-03,XB,2002,1,30,0.11,0.03,0,0.01,0.14
9105,Sumikko Gurashi: Omise Hajimerundesu,5,2015,5,Nippon Columbia,0,0,0.14,0,0.14
9106,Pirates: The Legend of Black Kat,4,2002,Adventure,34,0.07,0.05,0,0.02,0.14
9107,Fur Fighters: Viggo's Revenge,4,2001,5,31,0.07,0.05,0,0.02,0.14
9108,Krull,2600,1982,5,32,0.13,0.01,0,0,0.14
9109,Yu-Gi-Oh! Monster Capture 3,3,2000,4,21,0,0,0.14,0,0.14
9110,Risen,PC,2009,4,8,0,0.11,0,0.03,0.14
9111,Top Spin 3,DS,2008,5,D3Publisher,0.11,0.02,0,0.01,0.14
9112,Zapper: One Wicked Cricket!,9,2002,2,Infogrames,0.1,0.04,0,0,0.14
9113,The Da Vinci Code,4,2006,5,26,0.07,0.05,0,0.02,0.14
9114,Watch Dogs,1U,2014,5,35,0.08,0.05,0,0.01,0.14
9115,Mr. Driller: Drill Spirits,DS,2004,3,1,0.08,0,0.05,0.01,0.14
9116,Arctic Tale,DS,2007,Adventure,Zoo Digital Publishing,0.13,0,0,0.01,0.14
9117,Scooby-Doo! Night of 100 Frights,XB,2003,2,THQ,0.11,0.03,0,0.01,0.14
9118,MX vs. ATV Reflex,DS,2009,Racing,THQ,0.13,0,0,0.01,0.14
9119,Anno 1701: Dawn of Discovery,DS,2007,Simulation,Touchstone,0.07,0.06,0,0.02,0.14
9120,Chicken Shoot,DS,2007,5,Zoo Digital Publishing,0.13,0,0,0.01,0.14
9121,Dead to Rights,GC,2002,23,0.11,0.03,0,0,0.14
9122,Sphinx and the Cursed Mummy,GC,2003,5,THQ,0.11,0.03,0,0,0.14
9123,Cabela's Outdoor Adventures (2009),4,2009,1,18 Value,0.07,0.05,0,0.02,0.14
9124,T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1998,Adventure,Sunsoft,0.08,0.05,0,0.01,0.14
9125,Naruto RPG 2: Chidori vs Rasengan,DS,2005,4,Tomy Corporation,0,0,0.14,0,0.14
9126,Destruction Derby Raw,PS,2000,Racing,20,0.08,0.05,0,0.01,0.14
9127,Project V6,PS,1998,6,General Entertainment,0,0,0.13,0.01,0.14
9128,Farming Simulator 2012,5,2012,5,Excalibur Publishing,0,0.12,0,0.02,0.14
9129,NFL Head Coach 09,6,2008,1,34,0.13,0,0,0.01,0.14
9130,World Tour Soccer 2003,4,2002,1,20,0.07,0.05,0,0.02,0.14
9131,Akiba's Trip,13,2011,Adventure,Acquire,0,0,0.14,0,0.14
9132,Bravo Air Race,PS,1997,Racing,THQ,0.08,0.05,0,0.01,0.14
9133,Onimusha Essentials,4,2008,5,25,0.07,0.05,0,0.02,0.14
9134,Blazing Angels 2: Secret Missions of W1,8,2007,Simulation,35,0.11,0.02,0,0.01,0.14
9135,Gundam: The Battle Master,PS,1997,Fighting,9,0,0,0.13,0.01,0.14
9136,Spyro: A Hero's Tail,XB,2004,2,Vivendi Games,0.11,0.03,0,0.01,0.14
9137,¡Shin Chan Flipa en colores!,DS,2007,2,505 Games,0,0,0.14,0,0.14
9138,Just Cause 3,PC,2015,5,33,0.03,0.11,0,0.01,0.14
9139,Eternal Poison,4,2008,4,Banpresto,0.07,0.05,0,0.02,0.14
9140,Lord of the Rings: Tactics,13,2005,6,34,0.11,0.02,0,0.02,0.14
9141,X-Blades,8,2009,5,SouthPeak Games,0.1,0.02,0.02,0.01,0.14
9142,Gretzky NHL 06,4,2005,1,20,0.07,0.05,0,0.02,0.14
9143,Gungrave: Overdose,4,2004,11,Play It,0.07,0.05,0,0.02,0.14
9144,Kidou Senshi Gundam: Shin Gihren no Yabou,13,2011,6,9,0,0,0.14,0,0.14
9145,How to Train Your Dragon,8,2010,5,18,0.11,0.02,0,0.01,0.14
9146,Your Shape: Fit2s Evolved 2013,1U,2012,5,35,0.06,0.07,0,0.01,0.14
9147,My Fit2s Coach: Club,6,2011,1,35,0,0.1,0,0.04,0.14
9148,NBA ShootOut 2002,PS,2001,1,20,0.08,0.05,0,0.01,0.14
9149,SingStar Vol. 3,6,2008,Misc,20,0,0.11,0,0.03,0.14
9150,The Granstream Saga,PS,1997,4,20,0.08,0.05,0,0.01,0.14
9151,Scene It? Bright Lights! Big Screen!,1,2009,Misc,24,0.13,0,0,0.01,0.14
9152,"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",13,2007,4,15,0,0,0.13,0,0.14
9153,WCW Backstage Assault,N64,N/A,5,Unknown,0.11,0.03,0,0,0.14
9154,Micro Machi2 64 Turbo,N64,1999,Racing,13,0.11,0.03,0,0,0.14
9155,Bassmasters 2000,N64,1999,1,THQ,0.11,0.03,0,0,0.14
9156,Baldur's Gate: Dark Alliance,GC,2002,4,7,0.11,0.03,0,0,0.14
9157,Bio FREAKS,N64,1998,5,GT Interactive,0.11,0.03,0,0,0.14
9158,Eternal Eyes,PS,1999,4,Sunsoft,0.08,0.05,0,0.01,0.14
9159,Injustice: Gods Among Us,11,2013,Fighting,24,0.11,0.01,0,0.02,0.14
9160,Fate/Unlimited Codes,4,2008,Fighting,25,0,0,0.14,0,0.14
9161,32's Greatest Hits: Volume 1,DS,2010,Misc,32,0.13,0,0,0.01,0.14
9162,The Operative: No One Lives Forever,4,2002,23,0.07,0.05,0,0.02,0.14
9163,International Cricket 2010,8,2010,1,13,0,0.12,0,0.02,0.14
9164,Epidemic,PS,1995,11,20,0.02,0.01,0.1,0.01,0.14
